Customer Number;Sales and Distribution Document Number;Consignment;Sales order date;delivery date;Status;Gross Weight of the Item;Net Value of the Sales Order in Document Currency;Transport number;netvolume confirmed;netvolume unconfirmed;Status of confirmation;Date of Confirmation;Trackingnumber;Trackingnumber;Trackingnumber;Container
9075313413;0001894480;P-1710-WHITES;25.11.2016;13.12.2016;From factory 12.12.2016;210;946,47;201650121035;1,700;0,000;Confirmed;20161011;;;;HN50
9075313413;0004728756;P-2808-K-C APPLIANCE UNIT;25.11.2016;13.12.2016;From factory 12.12.2016;82;274,98;201650121038;1,046;0,000;Confirmed;20161011;;;;HN50
9075313413;0001892747;P-3105-EXTRAS;25.11.2016;13.12.2016;From factory 12.12.2016;39;325,47;201650121032;0,199;0,000;Confirmed;20160927;;;;HN50
9075313413;0004728784;P-510-WIC;25.11.2016;13.12.2016;From factory 12.12.2016;34;241,77;201650121039;0,009;0,000;Confirmed;20161004;;;;HN50
9075313413;0001903868;P-3108-WIC-GUEST;16.12.2016;23.01.2017;From factory 19.01.2017;423;2.769,04;201703420037;2,901;0,000;Confirmed;20161201;;;;HN04
9075313413;0001906497;P-WHITES-K-2;16.12.2016;23.01.2017;From factory 19.01.2017;210;984,36;201703420033;1,700;0,000;Confirmed;20161205;;;;HN04
9075313413;0001907583;ANGLE OPENING;13.12.2016;16.12.2016;Post dispatch on 15.12.2016;5;425,00;201650488035;0,005;0,000;Confirmed;20161214;;;;UPS
9075313413;0001903863;P-3108-PANTRY-1;16.12.2016;23.01.2017;From factory 19.01.2017;320;2.094,23;201703420035;2,638;0,000;Confirmed;20161123;;;;HN04
9075313413;0001903867;P-3108-WIC-DORM-2;16.12.2016;23.01.2017;From factory 19.01.2017;913;9.906,02;201703420031;4,349;0,000;Confirmed;20161205;;;;HN04
9075313413;0001908645;P-3010-MB-J;19.12.2016;24.07.2017;Confirmed Week 30.2017;585;5.081,80;;4,232;0,000;Confirmed;20161220;;;;
9075313413;0001907801;P-3110-K-EXTRAS;20.12.2016;23.01.2017;From factory 19.01.2017;67;1.019,65;201703420039;0,314;0,000;Confirmed;20161214;;;;HN04
9075313413;0001906489;P-WHITES-K;16.12.2016;23.01.2017;From factory 19.01.2017;210;984,36;201703420032;1,700;0,000;Confirmed;20161205;;;;HN04
9075313413;0001903866;P-3108-WIC-DORM-1;16.12.2016;23.01.2017;From factory 19.01.2017;701;8.167,64;201703420030;3,368;0,000;Confirmed;20161205;;;;HN04
9075313413;0001903865;P-3108-PANTRY-2;16.12.2016;23.01.2017;From factory 19.01.2017;280;1.617,33;201703420036;2,638;0,000;Confirmed;20161123;;;;HN04
9075313413;0001903861;P-3108-GUEST-BATH;16.12.2016;23.01.2017;From factory 19.01.2017;167;1.457,22;201703420034;0,749;0,000;Confirmed;20161125;;;;HN04
9075313413;0001894479;P-2905-PANTRY;25.11.2016;13.12.2016;From factory 12.12.2016;143;850,18;201650121034;1,127;0,000;Confirmed;20161011;;;;HN50
9075313413;0001900274;P-PANORAMA-PANTRY EXTRAS;25.11.2016;13.12.2016;From factory 12.12.2016;1.893;9.732,49;201650121043;12,689;0,000;Confirmed;20161114;;;;HN50
9075313413;0001894478;P-2610-MB;25.11.2016;13.12.2016;From factory 12.12.2016;107;714,65;201650121033;0,485;0,000;Confirmed;20161024;;;;HN50
9075313413;0001902235;P-2607-MB3;25.11.2016;13.12.2016;From factory 12.12.2016;621;3.614,57;201650121047;3,267;0,000;Confirmed;20161124;;;;HN50
9075313413;0001902241;P-308-MB2;25.11.2016;13.12.2016;From factory 12.12.2016;214;1.365,58;201650121045;1,159;0,000;Confirmed;20161116;;;;HN50
9075313413;0001894482;P-3108-MB4;25.11.2016;13.12.2016;From factory 12.12.2016;415;4.294,73;201650121040;2,553;0,000;Confirmed;20161024;;;;HN50
9075313413;0001902243;P-208-K;25.11.2016;13.12.2016;From factory 12.12.2016;802;4.644,30;201650121042;5,566;0,000;Confirmed;20161115;;;;HN50
9075313413;0004734654;P-2106C-KR LOSE FRONTS;25.11.2016;13.12.2016;From factory 12.12.2016;102;630,99;201650121046;0,415;0,000;Confirmed;20161114;;;;HN50
9075313413;0001902236;P-3005-EXTRAS;25.11.2016;13.12.2016;From factory 12.12.2016;307;1.374,89;201650121048;2,005;0,000;Confirmed;20161124;;;;HN50
9075313413;0001900088;P-UBS-EXTRAS;25.11.2016;13.12.2016;From factory 12.12.2016;106;2.662,13;201650121036;0,454;0,000;Confirmed;20161114;;;;HN50
9075313413;0001902238;P-3005-DRESSINGTABLE;25.11.2016;13.12.2016;From factory 12.12.2016;233;997,61;201650121044;1,295;0,000;Confirmed;20161117;;;;HN50
9075313738;0004729248;AVRY MIZRAHI MAINKITCHEN;23.11.2016;08.12.2016;From factory 07.12.2016;88;587,25;201649321161;0,440;0,000;Confirmed;20161013;;;;LA49
9075313738;0001909215;SAMPLE FB 149;21.12.2016;24.07.2017;Confirmed Week 30.2017;2;0,00;;0,002;0,000;Confirmed;20161222;;;;
9075313738;0001904425;BONSALL;19.12.2016;23.01.2017;From factory 20.01.2017;1.566;10.943,14;201703520032;13,855;0,000;Confirmed;20161213;;;;LA04
9075313738;0004738227;GALVIN_TRAY_MC;08.12.2016;20.12.2016;From factory 19.12.2016;1;37,70;201651123126;0,021;0,000;Confirmed;20161207;;;;LA51
9075313738;0004739990;SANDALL WORKTOPSUPPORT;20.12.2016;24.07.2017;Confirmed Week 30.2017;51;229,23;;0,252;0,000;Confirmed;20161228;;;;LA04
9075313738;0004737521;ALLISON HANES_675 REPLACEMENT;06.12.2016;21.12.2016;Post dispatch on 20.12.2016;1;133,74;201651288003;0,007;0,000;Confirmed;20161205;;;;UPS
9075313738;0004737193;BONSALL SPECIAL FRONT;09.12.2016;24.07.2017;Confirmed Week 30.2017;56;1.373,76;;0,225;0,000;Confirmed;20161208;;;;
9075313738;0001907638;DAVID_SU KITCHEN;19.12.2016;23.01.2017;From factory 20.01.2017;1.416;9.694,90;201703520033;10,483;0,000;Confirmed;20161219;;;;LA04
9075313738;0001902779;MC_LANG_KITCHEN;19.12.2016;23.01.2017;From factory 20.01.2017;1.401;17.583,82;201703520030;8,255;0,000;Confirmed;20161207;;;;LA04
9075313738;0001903506;MC_LANG_DINING/LIVING;15.12.2016;31.01.2017;From factory 30.01.2017;434;2.239,29;201705150000;2,772;0,000;Confirmed;20161213;;;;LA05
9075313738;0001904427;MC SANBORN BATHROOMS;19.12.2016;23.01.2017;From factory 20.01.2017;336;2.229,68;201703520031;1,901;0,000;Confirmed;20161208;;;;LA04
9075313738;0001898368;MCHAYTHAMHARPER;02.12.2016;20.12.2016;From factory 19.12.2016;1.431;11.827,46;201651123120;9,974;0,000;Confirmed;20161115;;;;LA51
9075313738;0004734076;RONY ABISHOOR KITCHEN REPL;11.11.2016;16.12.2016;From factory 15.12.2016;4;0,00;201650489001;0,017;0,000;Confirmed;20161111;;;;UPS
9075313738;0001900679;MC_HAYTHAM_CELLAR;02.12.2016;20.12.2016;From factory 19.12.2016;203;1.500,19;201651123123;1,333;0,000;Confirmed;20161116;;;;LA51
9075313738;0001902037;MC-FRANCISTRAN;02.12.2016;20.12.2016;From factory 19.12.2016;1.107;10.627,41;201651123124;7,758;0,000;Confirmed;20161201;;;;LA51
9075313738;0001900677;MC_HENEGAR-KITCHEN;23.11.2016;08.12.2016;From factory 07.12.2016;398;3.183,86;201649321162;2,660;0,000;Confirmed;20161116;;;;LA49
9075313738;0001903773;Mc_Sanborn_Kitchen;12.12.2016;20.12.2016;From factory 19.12.2016;1.133;7.591,63;201651123122;8,217;0,000;Confirmed;20161213;;;;LA51
9075313738;0001903324;MC-LANG_BATHROOMS;02.12.2016;20.12.2016;From factory 19.12.2016;631;4.442,60;201651123121;4,485;0,000;Confirmed;20161201;;;;LA51
9075314011;0001413652;SAMPLE CHIP STOCK;23.11.2016;08.12.2016;From factory 07.12.2016;3;0,00;201649321061;0,003;0,000;Confirmed;20161115;;;;LA49
9075314011;0004736433;YS-AVITAN KITCHEN REPL.2;06.12.2016;21.12.2016;From factory 20.12.2016;0;0,00;201651224089;0,000;0,000;Confirmed;20161201;;;;WA51
9075314011;0001906336;ALLIUM G;06.12.2016;20.12.2016;From factory 19.12.2016;45;122,52;201651123029;0,324;0,000;Confirmed;20161205;;;;LA51
9075314011;0001908868;IRVINE TOUCH-UP STOCK DEC;20.12.2016;23.01.2017;From factory 20.01.2017;25;39,00;201703520080;0,180;0,000;Confirmed;20161219;;;;
9075314011;0004737516;PA KITCHEN REPL. 2;14.12.2016;21.12.2016;From factory 20.12.2016;9;0,00;201651226005;0,040;0,000;Confirmed;20161205;;;;NJ51
9075314011;0004737114;WELANDER KITCHE YS REPLACEMENT;06.12.2016;09.12.2016;Post dispatch on 08.12.2016;1;0,00;201649488058;0,000;0,000;Confirmed;20161201;;;;UPS
9075314011;0001902836;YS-SHED JENNINGS KITCHEN;05.12.2016;21.12.2016;From factory 20.12.2016;1.070;5.949,96;201651224096;8,193;0,000;Confirmed;20161125;;;;WA51
9075314011;0001903824;GARIBI WEIHNACHTEN;28.11.2016;08.12.2016;From factory 07.12.2016;30;0,00;201649321062;0,100;0,000;Confirmed;20161130;;;;LA49
9075314011;0001901631;YS-TANG MASTER BATH;05.12.2016;21.12.2016;From factory 20.12.2016;126;765,20;201651224093;1,150;0,000;Confirmed;20161125;;;;WA51
9075314011;0001901632;YS-TANG MASTER TALL;05.12.2016;21.12.2016;From factory 20.12.2016;109;577,53;201651224094;0,785;0,000;Confirmed;20161125;;;;WA51
9075314011;0001901179;YS-TANG KITCHEN;05.12.2016;21.12.2016;From factory 20.12.2016;1.267;7.982,30;201651224091;10,290;0,000;Confirmed;20161125;;;;WA51
9075314011;0001902839;YS-SHED JENNINGS BATHROOM;05.12.2016;21.12.2016;From factory 20.12.2016;95;562,95;201651224097;0,503;0,000;Confirmed;20161125;;;;WA51
9075314011;0001902837;YS-SHED JENNINGS M.BATH;05.12.2016;21.12.2016;From factory 20.12.2016;253;1.543,61;201651224098;1,303;0,000;Confirmed;20161125;;;;WA51
9075314011;0001901630;YS-TANG KIDS BATH;05.12.2016;21.12.2016;From factory 20.12.2016;105;432,54;201651224092;0,986;0,000;Confirmed;20161125;;;;WA51
9075314011;0001900694;YS-ISRAEL KITCHEN;05.12.2016;21.12.2016;From factory 20.12.2016;610;3.778,28;201651224090;4,546;0,000;Confirmed;20161125;;;;WA51
9075314011;0001901874;YS-TANG POWDER;05.12.2016;21.12.2016;From factory 20.12.2016;39;224,37;201651224095;0,261;0,000;Confirmed;20161125;;;;WA51
9075314589;0001906808;759-Tracey Hunter/NG;20.12.2016;06.02.2017;From factory 01.02.2017;1.775;15.090,29;201705350000;12,111;0,000;Confirmed;20161220;;;;NJ06
9075314589;0001899259;770-SHAWN FOLK/NC;02.12.2016;20.12.2016;From factory 19.12.2016;928;9.767,69;201651127033;6,607;0,000;Confirmed;20161121;;;;FL51
9075314589;0001897847;766-SHARON MORJAIN/NC;02.12.2016;20.12.2016;From factory 19.12.2016;241;1.235,81;201651127032;1,502;0,000;Confirmed;20161121;;;;FL51
9075314751;0001415403;GKC-ATLANTABOOKS;14.12.2016;23.01.2017;Confirmed Week 04.2017;136;0,00;;0,177;0,000;Confirmed;20161215;;;;NJ04
9075314751;0001906079;GKC-ATLANTA K1;14.12.2016;23.01.2017;Confirmed Week 04.2017;729;5.252,29;;3,711;0,000;Confirmed;20161212;;;;NJ04
9075314751;0001903509;GKC-ATLANTA K3;20.12.2016;24.07.2017;Confirmed Week 30.2017;901;8.868,00;;6,080;0,000;Confirmed;20161223;;;;NJ03
9075314751;0001905354;ATLANTA K1 ISLAND;20.12.2016;24.07.2017;Confirmed Week 30.2017;188;959,82;;0,937;0,000;Confirmed;20161223;;;;NJ04
9075314751;0001902778;ATLANTA SHOWROOM WINDOW;15.12.2016;19.01.2017;From factory 18.01.2017;694;5.125,28;201703320090;5,327;0,000;Confirmed;20161209;;;;NJ03
9075314751;0001906185;GKC-ATLANTA-6TDOORSAMPLES;14.12.2016;23.01.2017;Confirmed Week 04.2017;212;0,00;;0,292;0,000;Confirmed;20161208;;;;
9075314751;0001906089;GKC-ATLANTA K1 VALAIS;19.12.2016;06.02.2017;From factory 01.02.2017;302;6.896,44;201705350000;2,545;0,000;Confirmed;20161223;;;;NJ04
9075314751;0001908069;784-ILENE MALAKOFF/RA;20.12.2016;30.01.2017;Confirmed Week 05.2017;787;10.854,30;;5,101;0,000;Confirmed;20161219;;;;NJ05
9075314751;0001907909;ATLANTA LOGO;20.12.2016;23.01.2017;Confirmed Week 04.2017;6;0,00;;0,014;0,000;Confirmed;20161215;;;;NJ04
9075314751;0001902822;ATLANTA K1 ISLAND;22.12.2016;24.07.2017;Confirmed Week 30.2017;557;6.193,45;;3,317;0,000;Confirmed;20161223;;;;NJ30
9075314751;0001902427;GKC-ATLANTA5TOWERS;15.12.2016;19.01.2017;From factory 18.01.2017;201;1.247,40;201703320030;0,755;0,000;Confirmed;20161202;;;;NJ03
9075315495;0001906365;BUILDEX DISPLAY VANCOUVER;06.12.2016;21.12.2016;From factory 20.12.2016;311;2.274,98;201651224120;2,164;0,000;Confirmed;20161206;;;;BC51
9075315495;0004737991;HADI LG CARCASES;22.12.2016;27.02.2017;Confirmed Week 09.2017;71;1.706,31;;0,852;0,000;Confirmed;20161212;;;;
9075315495;0001905276;BROWNJOHN FIREPLACE-1;19.12.2016;30.01.2017;From factory 25.01.2017;131;1.981,26;201704350000;0,582;0,000;Confirmed;20161212;;;;BC05
9075315495;0001902781;HADI;20.12.2016;06.02.2017;From factory 02.02.2017;795;8.817,71;201705450000;5,707;0,000;Confirmed;20161214;;;;BC05
9075315523;0004730641;1860068 REPL. DOOR & SHELVES;02.12.2016;20.12.2016;From factory 19.12.2016;33;0,00;201651123030;0,134;0,000;Confirmed;20161111;;;;LA51
9075315523;0001896352;UT MAIN DISPLAY;23.11.2016;08.12.2016;From factory 07.12.2016;1.978;15.639,31;201649321090;12,698;0,000;Confirmed;20161110;;;;LA49
9075315523;0004732341;UT-MEDIA & BAR REPL;23.11.2016;08.12.2016;From factory 07.12.2016;17;0,00;201649321030;0,044;0,000;Confirmed;20161028;;;;LA49
9075315987;0001415378;GKC-SEATTLE BOOKS;06.12.2016;21.12.2016;From factory 20.12.2016;103;0,00;201651224100;0,160;0,000;Confirmed;20161202;;;;WA51
9075315987;0004740329;GKC-Seattle K3 midway blenders;21.12.2016;00.00.0000;ORDER BLOCK;16;94,36;;0,038;0,000;Confirmed;20161223;;;;
9075315987;0001906407;SEATTLE TV UNIT;22.12.2016;06.02.2017;From factory 02.02.2017;361;3.769,47;201705450000;1,593;0,000;Confirmed;20161214;;;;WA04
9075315987;0004738005;GKC-SEATTLE K2 NEW D/W FRONT;15.12.2016;03.02.2017;From factory 25.01.2017;7;0,00;201704350000;0,009;0,000;Confirmed;20161208;;;;WA04
9075315987;0001903524;772-SEATTLE SHOWROOM-K4;14.12.2016;30.01.2017;Confirmed Week 05.2017;1.109;8.553,44;;8,212;0,000;Confirmed;20161209;;;;WA05
9075315987;0001899804;GKC-SEATTLE K1 VALAIS;05.12.2016;21.12.2016;From factory 20.12.2016;354;4.497,91;201651224030;2,807;0,000;Confirmed;20161122;;;;WA51
9075315987;0001901978;GKC-Seattle K3;22.12.2016;03.02.2017;From factory 25.01.2017;867;6.772,57;201704350000;6,896;0,000;Confirmed;20161222;;;;WA05
9075315987;0001902154;GKC-SEATTLE TABLE;15.12.2016;03.02.2017;From factory 25.01.2017;104;838,46;201704350000;0,447;0,000;Confirmed;20161122;;;;WA04
9075315987;0001899262;GKC-SEATTLE K1;08.12.2016;21.12.2016;From factory 20.12.2016;1.175;7.505,10;201651226060;7,042;0,000;Confirmed;20161212;;;;WA51
9075315987;0001897545;GKC-SEATTLE K2;05.12.2016;21.12.2016;From factory 20.12.2016;1.643;15.414,58;201651224032;10,780;0,000;Confirmed;20161129;;;;WA51
9075315987;0004731980;GKC-SEATTLE K2 MODO&GLASS BACK;05.12.2016;21.12.2016;From factory 20.12.2016;170;1.214,90;201651224031;0,166;0,000;Confirmed;20161122;;;;WA51
9075315987;0001909235;Seattle LOGO;20.12.2016;00.00.0000;ORDER BLOCK;6;0,00;;0,014;0,000;Confirmed;20161223;;;;
9075315987;0001899638;GKC-SEATTLE6TOWERS;05.12.2016;21.12.2016;From factory 20.12.2016;415;2.839,03;201651224060;1,757;0,000;Confirmed;20161028;;;;WA51
9075315987;0001899642;6T DOOR SAMPLE 2017GKC-SEATTLE;05.12.2016;21.12.2016;From factory 20.12.2016;194;0,00;201651224061;0,266;0,000;Confirmed;20161028;;;;WA51
90753119431;0001894330;749-KELLY ISRANI/YZ;24.11.2016;12.12.2016;From factory 08.12.2016;956;12.787,58;201649420090;6,583;0,000;Confirmed;20161111;;;;NJ49
90753119431;0004740422;695-PAUL COLE/GB REPLACEMENT;23.12.2016;24.07.2017;Confirmed Week 30.2017;235;4.491,32;;1,236;0,000;Confirmed;20161224;;;;
90753119431;0004740282;684-TODD KELLER/MH-REPAIR;22.12.2016;24.07.2017;Confirmed Week 30.2017;1;25,11;;0,001;0,000;Confirmed;20161221;;;;
90753119431;0004740350;536-JAMES SCHELL/MH-REPL5;22.12.2016;24.07.2017;Confirmed Week 30.2017;0;19,50;;0,000;0,000;Confirmed;20161222;;;;NJ03
90753119431;0001909557;GKC SERVICE PARTS;22.12.2016;24.07.2017;Confirmed Week 30.2017;0;156,00;;0,000;0,000;Confirmed;20161222;;;;
90753119431;0004737534;643-PREETI SALVI/MH REPL.;15.12.2016;19.01.2017;From factory 18.01.2017;78;687,11;201703320033;0,474;0,000;Confirmed;20161205;;;;NJ03
90753119431;0004737825;737-ANDREW JOELSON/KG REPL.;15.12.2016;19.01.2017;From factory 18.01.2017;29;201,69;201703320034;0,204;0,000;Confirmed;20161206;;;;NJ03
90753119431;0004736235;732-RONNE COSEL/MH REPL;15.12.2016;19.01.2017;From factory 18.01.2017;30;689,88;201703320032;0,107;0,000;Confirmed;20161127;;;;NJ03
90753119431;0004739292;697-CIND WASSERMAN/MH ADD;20.12.2016;23.01.2017;Confirmed Week 04.2017;85;570,24;;0,653;0,000;Confirmed;20161215;;;;
90753119431;0001908661;610-SHATTAN-DUNDES-LAUNDRY;20.12.2016;30.01.2017;Confirmed Week 05.2017;435;2.923,72;;3,188;0,000;Confirmed;20161220;;;;NJ05
90753119431;0004739604;KAY-ORDER-BONDI CUTLERY TRAYS;19.12.2016;10.01.2017;Post dispatch on 09.01.2017;16;649,45;201702188044;0,080;0,000;Confirmed;20161221;;;;UPS
90753119431;0001907746;787-PIERRE BENNAIM/KG;19.12.2016;26.01.2017;Confirmed Week 04.2017;716;5.298,62;;5,370;0,000;Confirmed;20161220;;;;NJ04
90753119431;0004737537;11-0184-CIBANI TIA/YZ SPECIAL;07.12.2016;24.07.2017;Confirmed Week 30.2017;12;342,63;;0,048;0,000;Confirmed;20161212;;;;
90753119431;0004737546;643-PREETI SALVI/MH REPL.2;05.12.2016;24.07.2017;Confirmed Week 30.2017;11;233,28;;0,044;0,000;Confirmed;20161205;;;;
90753119431;0001902782;740-EILEEN KAMINSKY/PZ;09.12.2016;13.02.2017;From factory 09.02.2017;963;15.426,59;201706450000;6,461;0,000;Confirmed;20161207;;;;NJ06
90753119431;0001904439;11-0184-CIBANI TIA/YZ;07.12.2016;23.01.2017;From factory 19.01.2017;1.266;14.732,25;201703450000;8,210;0,000;Confirmed;20161207;;;;NJ04
90753119431;0001906206;110188-WIDYA WIDJAJA/PZ;07.12.2016;23.01.2017;From factory 20.01.2017;547;5.328,18;201703550000;3,254;0,000;Confirmed;20161207;;;;NJ04
90753119431;0001908071;11-0192 DAVID HELPERN/MH;23.12.2016;24.07.2017;Confirmed Week 30.2017;1.080;14.439,39;;7,316;0,000;Confirmed;20161223;;;;NJ07
90753119431;0001905574;AMSTERDAM SHOWROOM SIGNS;02.12.2016;12.12.2016;From factory 08.12.2016;11;0,00;201649420095;0,001;0,000;Confirmed;20161129;;;;NJ49
90753119431;0001905960;11-0199-ZARNEGAR REZA/GB;16.12.2016;19.01.2017;From factory 18.01.2017;574;6.674,92;201703320035;3,940;0,000;Confirmed;20161209;;;;NJ03
90753119431;0004739905;707-EDDIE BURCH/MH REPLACEMENT;20.12.2016;11.01.2017;Post dispatch on 10.01.2017;2;0,00;201702288017;0,004;0,000;Confirmed;20161220;;;;
90753119431;0004738803;NANCY BECKER/GB ADD;20.12.2016;06.02.2017;From factory 02.02.2017;28;811,62;201705450000;0,148;0,000;Confirmed;20161219;;;;
90753119431;0001905959;11-0206-VARTY NAMRATA/JM;15.12.2016;19.01.2017;From factory 18.01.2017;1.439;13.298,36;201703320036;10,390;0,000;Confirmed;20161214;;;;NJ03
90753119431;0004738770;754-VANDANA KUMRA/MH REPL;20.12.2016;19.01.2017;From factory 18.01.2017;7;198,51;201703320037;0,025;0,000;Confirmed;20161213;;;;NJ03
90753119431;0001908072;11-0226-JULIA ZELENGER/KG;19.12.2016;26.01.2017;Confirmed Week 04.2017;719;6.035,06;;4,585;0,000;Confirmed;20161222;;;;NJ05
90753119431;0004739863;707-EDDIE BURCH/MH REPL CARCAS;20.12.2016;23.01.2017;Confirmed Week 04.2017;41;243,66;;0,314;0,000;Confirmed;20161219;;;;
90753119431;0004737069;392-GREG EGLESTON-REPL;06.12.2016;21.12.2016;From factory 20.12.2016;8;0,00;201651226029;0,048;0,000;Confirmed;20161201;;;;NJ51
90753119431;0004739515;KAY-ORDER-BONDI;16.12.2016;24.07.2017;Confirmed Week 30.2017;49;698,22;;0,224;0,000;Confirmed;20161221;;;;
90753119431;0001906807;674-LAURIE AUSTIN-BAR;09.12.2016;30.01.2017;Confirmed Week 05.2017;279;3.988,39;;0,967;0,000;Confirmed;20161209;;;;NJ05
90753119431;0001899253;751-ROBIN SCHACK/IT;05.12.2016;21.12.2016;From factory 20.12.2016;1.558;21.519,93;201651226090;9,755;0,000;Confirmed;20161115;;;;NJ51
90753119431;0004733741;684-TODD KELLER/MH REPL;05.12.2016;21.12.2016;From factory 20.12.2016;8;141,75;201651226091;0,033;0,000;Confirmed;20161109;;;;NJ51
90753119431;0004733547;749-KELLY ISRANI/YZ ADD PARTS;15.12.2016;19.01.2017;From factory 18.01.2017;169;2.241,52;201703320031;1,345;0,000;Confirmed;20161117;;;;NJ03
90753119431;0001901642;11-0180-MARUSIC KRESIMIR/KG;25.11.2016;12.12.2016;From factory 08.12.2016;987;8.814,53;201649420092;6,803;0,000;Confirmed;20161121;;;;NJ49
90753119431;0001902165;773-OLGA VOTIS/YZ;25.11.2016;12.12.2016;From factory 08.12.2016;928;6.785,08;201649420094;6,002;0,000;Confirmed;20161127;;;;NJ49
90753119431;0004733914;746-IVAN KOSNYREV/ COUNTERTOP;28.11.2016;12.12.2016;From factory 08.12.2016;43;1.415,88;201649420091;0,174;0,000;Confirmed;20161111;;;;NJ49
90753119431;0001903332;11-0221-GANDHI NIK/KG;05.12.2016;21.12.2016;From factory 20.12.2016;865;8.436,90;201651226092;5,475;0,000;Confirmed;20161127;;;;NJ51
90753119431;0001901640;11-0193-AGNIESZKA BLOCH/KG;25.11.2016;12.12.2016;From factory 08.12.2016;736;6.805,73;201649420093;4,545;0,000;Confirmed;20161121;;;;NJ49
90753125361;0001413675;DOOR SAMPLE TOCCO 28;06.12.2016;15.12.2016;From factory 14.12.2016;2;0,00;201650322044;0,002;0,000;Confirmed;20161202;;;;SF50
90753125361;0004738376;SAN CARLOS TOWERS ADD VERTICAL;15.12.2016;19.01.2017;From factory 18.01.2017;18;44,46;201703321070;0,070;0,000;Confirmed;20161208;;;;
90753125361;0004740362;HAJJ REPLACEMENT;22.12.2016;24.07.2017;Confirmed Week 30.2017;1;134,20;;0,003;0,000;Confirmed;20161223;;;;
90753125361;0001909549;BALDO-23 ANNES CT.LAUNDRY;23.12.2016;24.07.2017;Confirmed Week 30.2017;385;1.629,47;;2,520;0,000;Confirmed;20161223;;;;SF07
90753125361;0001909547;BALDO-23 ANNES CT.BATH 3;23.12.2016;24.07.2017;Confirmed Week 30.2017;76;1.055,43;;0,403;0,000;Confirmed;20161223;;;;SF07
90753125361;0004738366;SHETH KITCHEN PART1 D/W FRONT;20.12.2016;23.01.2017;Post dispatch on 20.01.2017;16;202,98;201703588003;0,026;0,000;Confirmed;20161214;;;;UPS
90753125361;0004736379;SCHLARB-2860 GREENWICH-1ST FL.;29.11.2016;20.12.2016;From factory 19.12.2016;8;0,00;201651189001;0,033;0,000;Confirmed;20161128;;;;SF03
90753125361;0004737983;268 MALLORCA_KITCHEN SHELF;15.12.2016;19.01.2017;From factory 18.01.2017;44;810,00;201703321041;0,285;0,000;Confirmed;20161208;;;;
90753125361;0004737350;SHETH KITCHEN CHANNEL REPL.2;07.12.2016;10.01.2017;Post dispatch on 09.01.2017;2;0,00;201702188008;0,003;0,000;Confirmed;20161206;;;;UPS
90753125361;0001908024;S24WSB75US;14.12.2016;21.12.2016;Post dispatch on 20.12.2016;14;1.350,00;201651288033;0,032;0,000;Confirmed;20161214;;;;UPS
90753125361;0001904411;268 MALLORCA-MASTER BATH;15.12.2016;19.01.2017;From factory 18.01.2017;168;1.504,17;201703321038;0,839;0,000;Confirmed;20161201;;;;SF03
90753125361;0001904413;268 MALLORCA-KITCHENETTE;15.12.2016;19.01.2017;From factory 18.01.2017;742;4.903,89;201703321039;5,452;0,000;Confirmed;20161206;;;;SF03
90753125361;0001904406;268 MALLORCA-BATH 3;15.12.2016;19.01.2017;From factory 18.01.2017;220;1.586,54;201703321034;1,271;0,000;Confirmed;20161201;;;;SF03
90753125361;0001904098;268 MALLORCA_KITCHEN;15.12.2016;19.01.2017;From factory 18.01.2017;1.829;14.313,53;201703321042;11,608;0,000;Confirmed;20161214;;;;SF03
90753125361;0001904408;268 MALLORCA-BATH 5;15.12.2016;19.01.2017;From factory 18.01.2017;111;1.005,21;201703321036;0,621;0,000;Confirmed;20161201;;;;SF03
90753125361;0001904407;268 MALLORCA-BATH 6;15.12.2016;19.01.2017;From factory 18.01.2017;100;897,48;201703321035;0,518;0,000;Confirmed;20161201;;;;SF03
90753125361;0001906096;724 NOE KITCHEN;15.12.2016;19.01.2017;From factory 18.01.2017;1.257;9.880,79;201703321040;8,640;0,000;Confirmed;20161209;;;;SF03
90753125361;0001908674;BALDO-23 ANNES CT. PANTRY;20.12.2016;13.02.2017;Confirmed Week 07.2017;325;2.797,52;;2,049;0,000;Confirmed;20161219;;;;SF07
90753125361;0004739892;HAND POWDER DRAWER BOX;20.12.2016;23.01.2017;Post dispatch on 20.01.2017;4;109,35;201703588007;0,036;0,000;Confirmed;20161219;;;;UPS
90753125361;0004739894;HAND MASTER BATH REPL.;20.12.2016;23.01.2017;Post dispatch on 20.01.2017;3;109,35;201703588006;0,013;0,000;Confirmed;20161219;;;;UPS
90753125361;0001907750;MCKEOWN-368 PRENTISS ST;23.12.2016;24.07.2017;Confirmed Week 30.2017;861;8.385,42;;5,369;0,000;Confirmed;20161223;;;;SF07
90753125361;0004738802;1637 MCALLISTER STREET ISLAND;13.12.2016;15.12.2016;Post dispatch on 14.12.2016;0;0,00;201650388147;0,000;0,000;Confirmed;20161213;;;;UPS
90753125361;0001904409;268 MALLORCA-BATH 2;15.12.2016;19.01.2017;From factory 18.01.2017;55;746,01;201703321037;0,345;0,000;Confirmed;20161201;;;;SF03
90753125361;0004738503;BIACS ADDITIONAL 2;20.12.2016;23.01.2017;Post dispatch on 20.01.2017;7;127,17;201703588005;0,036;0,000;Confirmed;20161213;;;;UPS
